class	class_label	OMIM	Approved Gene Symbol (HGNC)
MONDO:0011200	torsion dystonia 7	OMIM:602124	DYT7
MONDO:0012643	hereditary spastic paraplegia 32	OMIM:611252	SPG32
MONDO:0012425	FECD2	OMIM:610158	FECD2
MONDO:0013928	dystonia 23	OMIM:614860	DYT23
MONDO:0010991	laterality defects, autosomal dominant	OMIM:601086	LATD
MONDO:0012267	holoprosencephaly 8	OMIM:609408	HPE8
MONDO:0011561	Alzheimer disease 6	OMIM:605526	AD6
MONDO:0012459	hypertension, essential, susceptibility to, 6	OMIM:610262	HYT6
MONDO:0012863	attention deficit-hyperactivity disorder, susceptibility to, 6	OMIM:612312	ADHD6
MONDO:0013852	hypertrophic cardiomyopathy 21	OMIM:614676	CMH21
MONDO:0012380	autosomal dominant nonsyndromic deafness 53	OMIM:609965	DFNA53
MONDO:0008966	Aagenaes syndrome	OMIM:214900	LCS1
MONDO:0013738	autosomal recessive nonsyndromic deafness 96	OMIM:614414	DFNB96
MONDO:0007279	cataract 7	OMIM:115660	CCA1
MONDO:0012947	intellectual disability, autosomal dominant 4	OMIM:612581	MRD4
MONDO:0010287	hereditary spastic paraplegia 16	OMIM:300266	SPG16
MONDO:0009331	isolated hemihyperplasia	OMIM:235000	IH
MONDO:0008291	porokeratosis plantaris palmaris et disseminata	OMIM:175850	POROK2
MONDO:0011771	distal spinal muscular atrophy type 3	OMIM:607088	SMAR
MONDO:0009197	transient erythroblastopenia of childhood	OMIM:227050	TEC
MONDO:0009103	diaphragmatic hernia 2	OMIM:222400	DIH2
MONDO:0011992	hereditary spastic paraplegia 25	OMIM:608220	SPG25
MONDO:0010144	tibial hemimelia	OMIM:275220	THMA
MONDO:0011777	Alzheimer disease 8	OMIM:607116	AD8
MONDO:0010633	iris hypoplasia with glaucoma	OMIM:308500	IHG1
MONDO:0008433	small cell lung carcinoma	OMIM:182280	SCLC1
MONDO:0007372	cornea plana 1, autosomal dominant	OMIM:121400	CNA1
MONDO:0013239	hereditary spastic paraplegia 41	OMIM:613364	SPG41
MONDO:0012069	KTCN3	OMIM:608586	KTCN3
MONDO:0011560	SLEB3	OMIM:605480	SLEB3
MONDO:0014555	peeling skin syndrome type A	OMIM:616265	PSS3
MONDO:0012331	migraine with aura, susceptibility to, 9	OMIM:609670	MGR9
MONDO:0013682	VUR4	OMIM:614317	VUR4
MONDO:0010742	pentalogy of Cantrell	OMIM:313850	THAS
MONDO:0012384	panic disorder 3	OMIM:609985	PAND3
MONDO:0013205	FECD5	OMIM:613269	FECD5
MONDO:0013492	APMR3	OMIM:613930	APMR3
MONDO:0012260	cataract 35	OMIM:609376	CTRCT35
MONDO:0012030	autosomal dominant nonsyndromic deafness 43	OMIM:608394	DFNA43
MONDO:0010836	NNO1	OMIM:600165	NNO1
MONDO:0013683	VUR5	OMIM:614318	VUR5
MONDO:0011189	arrhythmogenic right ventricular dysplasia 4	OMIM:602087	ARVD4
MONDO:0007172	atrial heart septal defect 1	OMIM:108800	ASD1
MONDO:0013709	MRT28	OMIM:614347	MRT28
MONDO:0011595	nonsyndromic congenital nail disorder 7	OMIM:605779	NDIC
MONDO:0013636	primary biliary cholangitis 4	OMIM:614220	PBC4
MONDO:0012265	PEE3	OMIM:609403	PEE3
MONDO:0011487	Huntington disease-like 3	OMIM:604802	HDL3
MONDO:0011950	infantile-onset autosomal recessive nonprogressive cerebellar ataxia	OMIM:608029	CLA3
MONDO:0012036	SLEB4	OMIM:608437	SLEB4
MONDO:0012214	GCCD3	OMIM:609197	GCCD3
MONDO:0014301	DDD3	OMIM:615674	DDD3
MONDO:0011097	Axenfeld-Rieger syndrome type 2	OMIM:601499	RIEG2
MONDO:0013241	spinocerebellar ataxia type 30	OMIM:613371	SCA30
MONDO:0011187	polydactyly, postaxial, type A2	OMIM:602085	PAPA2
MONDO:0010460	syndromic X-linked intellectual disability 17	OMIM:300858	MRXS17
MONDO:0012813	retinitis pigmentosa 29	OMIM:612165	RP29
MONDO:0011808	cataract 27	OMIM:607304	CTRCT27
MONDO:0009869	isolated Pierre-Robin syndrome	OMIM:261800	PRBNS
MONDO:0014264	OTSC10	OMIM:615589	OTSC10
MONDO:0012587	hypertension, essential, susceptibility to, 7	OMIM:610948	HYT7
MONDO:0009974	familial hemophagocytic lymphohistiocytosis type 1	OMIM:267700	HPLH1
MONDO:0007250	camptodactyly of fingers	OMIM:114200	CAMPD1
MONDO:0012867	hereditary spastic paraplegia 38	OMIM:612335	SPG38
MONDO:0012685	major affective disorder 5	OMIM:611535	MAFD5
MONDO:0012800	trichoepithelioma, multiple familial, 2	OMIM:612099	MFT2
MONDO:0013706	MRT23	OMIM:614344	MRT23
MONDO:0011775	nasopharyngeal carcinoma, susceptibility to, 1	OMIM:607107	NPCA1
MONDO:0013300	commissural facial cleft	OMIM:613545	MACST
MONDO:0024549	MCOPCB1	OMIM:300345	MCOPCB1
MONDO:0012406	HRPT3	OMIM:610071	HRPT3
MONDO:0012903	autosomal recessive nonsyndromic deafness 45	OMIM:612433	DFNB45
MONDO:0024529	MVP1	OMIM:157700	MMVP1
MONDO:0011175	FRDA2	OMIM:601992	FRDA2
MONDO:0012965	BFIS4	OMIM:612627	BFIS4
MONDO:0013830	KTCN5	OMIM:614622	KTCN5
MONDO:0012105	granulomatosis with polyangiitis	OMIM:608710	WG
MONDO:0013297	autosomal dominant limb-girdle muscular dystrophy type 1H	OMIM:613530	LGMD1H
MONDO:0011279	autosomal recessive nonsyndromic deafness 17	OMIM:603010	DFNB17
MONDO:0013221	Miyoshi muscular dystrophy 2	OMIM:613318	MMD2
MONDO:0012051	periodontitis, aggressive, 2	OMIM:608526	PDON2
MONDO:0013639	narcolepsy 6, susceptibility to	OMIM:614223	NRCLP6
MONDO:0010391	angioma serpiginosum, X-linked	OMIM:300652	AGSPX
MONDO:0011194	Alzheimer disease 5	OMIM:602096	AD5
MONDO:0010236	MRX14	OMIM:300062	MRX14
MONDO:0012404	SLEB8	OMIM:610066	SLEB8
MONDO:0012671	ETM3	OMIM:611456	ETM3
MONDO:0011697	Waardenburg syndrome type 2C	OMIM:606662	WS2C
MONDO:0010245	X-linked cone-rod dystrophy 2	OMIM:300085	COD2
MONDO:0010348	dyslexia, susceptibility to, 9	OMIM:300509	DYX9
MONDO:0007935	cystoid macular edema	OMIM:153880	CYMD
MONDO:0012623	MRT4	OMIM:611107	MRT4
MONDO:0007995	MCOPCT1	OMIM:156850	MCOPCT1
MONDO:0010360	PARK12	OMIM:300557	PARK12
MONDO:0012663	Plasmodium falciparum fever episodes quantitative trait locus 1	OMIM:611384	PFFE1
MONDO:0013010	autosomal recessive nonsyndromic deafness 71	OMIM:612789	DFNB71
MONDO:0007443	congenital unilateral hypoplasia of depressor anguli oris	OMIM:125520	ACF
MONDO:0010826	childhood absence epilepsy	OMIM:600131	ECA1
MONDO:0024569	optic atrophy 8	OMIM:616648	OPA8
MONDO:0012376	autosomal recessive nonsyndromic deafness 55	OMIM:609952	DFNB55
MONDO:0008474	spondyloepiphyseal dysplasia tarda, autosomal dominant	OMIM:184100	SPDT
MONDO:0009786	optic atrophy 6	OMIM:258500	OPA6
MONDO:0010446	X-linked cone dysfunction syndrome with myopia	OMIM:300843	BED
MONDO:0013104	BCC4	OMIM:613061	BCC4
MONDO:0012135	restless legs syndrome, susceptibility to, 2	OMIM:608831	RLS2
MONDO:0012797	OTSC8	OMIM:612096	OTSC8
MONDO:0012195	arthrogryposis-severe scoliosis syndrome	OMIM:609128	DA4
MONDO:0010365	CFTDX	OMIM:300580	CFTDX
MONDO:0011965	familial temporal lobe epilepsy 2	OMIM:608096	ETL2
MONDO:0013716	AAA4	OMIM:614375	AAA4
MONDO:0021012	susceptibility to visceral leishmaniasis, 1	OMIM:608207	KAZA1
MONDO:0011657	autosomal dominant nonsyndromic deafness 24	OMIM:606282	DFNA24
MONDO:0011952	amyotrophic lateral sclerosis type 7	OMIM:608031	ALS7
MONDO:0007440	major affective disorder 1	OMIM:125480	MAFD1
MONDO:0024265	Duane syndrome type 1	OMIM:126800	DURS1
MONDO:0012344	Alzheimer disease 11	OMIM:609790	AD11
MONDO:0011785	hereditary spastic paraplegia 19	OMIM:607152	SPG19
MONDO:0012493	restless legs syndrome, susceptibility to, 4	OMIM:610439	RLS4
MONDO:0007278	cataract 32 multiple types	OMIM:115650	CTAA1
MONDO:0011851	migraine with or without aura, susceptibility to, 6	OMIM:607516	MGR6
MONDO:0012121	OTSC5	OMIM:608787	OTSC5
MONDO:0011802	hypercalciuria, absorptive, 1	OMIM:607258	HCA1
MONDO:0012152	attention deficit-hyperactivity disorder, susceptibility to, 4	OMIM:608906	ADHD4
MONDO:0012642	major affective disorder 4	OMIM:611247	MAFD4
MONDO:0010522	X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2	OMIM:301201	AIH3
MONDO:0011924	panic disorder 2	OMIM:607853	PAND2
MONDO:0012327	autosomal recessive nonsyndromic deafness 46	OMIM:609647	DFNB46
MONDO:0011834	spinocerebellar ataxia type 18	OMIM:607458	SCA18
MONDO:0010917	CCAL1	OMIM:600668	CCAL1
MONDO:0013614	hypertelorism-preauricular sinus-punctual pits-deafness syndrome	OMIM:614187	HPPD
MONDO:0012451	EOE1	OMIM:610247	EOE1
MONDO:0013109	leukemia, acute lymphocytic, susceptibility to, 2	OMIM:613067	ALL2
MONDO:0007712	oculoauriculovertebral spectrum with radial defects	OMIM:141400	GHS
MONDO:0012285	LVNC2	OMIM:609470	LVNC2
MONDO:0007476	familial Dupuytren contracture	OMIM:126900	DUPC1
MONDO:0010468	ANIB5	OMIM:300870	ANIB5
MONDO:0013974	ECTD6	OMIM:614928	ECTD6
MONDO:0011901	Charcot-Marie-Tooth disease axonal type 2H	OMIM:607731	CMT2H
MONDO:0011297	autosomal dominant nocturnal frontal lobe epilepsy 2	OMIM:603204	ENFL2
MONDO:0012576	PSNP3	OMIM:610898	PSNP3
MONDO:0013085	NBLST5	OMIM:613016	NBLST5
MONDO:0007486	hereditary benign intraepithelial dyskeratosis	OMIM:127600	DKBI
MONDO:0012598	GINGF4	OMIM:611010	GINGF4
MONDO:0008831	asphyxiating thoracic dystrophy 1	OMIM:208500	ATD
MONDO:0012361	SLEB5	OMIM:609903	SLEB5
MONDO:0012583	STHAG5	OMIM:610926	STHAG5
MONDO:0012917	specific language impairment 4	OMIM:612514	SLI4
MONDO:0012090	autosomal dominant nonsyndromic deafness 47	OMIM:608652	DFNA47
MONDO:0010903	craniosynostosis, Adelaide type	OMIM:600593	CRSA
MONDO:0012862	attention deficit-hyperactivity disorder, susceptibility to, 5	OMIM:612311	ADHD5
MONDO:0012660	susceptibility to visceral leishmaniasis, 2	OMIM:611381	KAZA2
MONDO:0010748	torticollis-keloids-cryptorchidism-renal dysplasia syndrome	OMIM:314300	TKCR
MONDO:0007123	ankyloblepharon filiforme adnatum-cleft palate syndrome	OMIM:106250	AFA
MONDO:0012452	autosomal recessive nonsyndromic deafness 65	OMIM:610248	DFNB65
MONDO:0011470	hyperlipidemia, combined, 2	OMIM:604499	HYPLIP2
MONDO:0011556	BCC1	OMIM:605462	BCC1
MONDO:0013654	ANIB11	OMIM:614252	ANIB11
MONDO:0011682	episodic ataxia type 3	OMIM:606554	EA3
MONDO:0012149	attention deficit-hyperactivity disorder, susceptibility to, 1	OMIM:608903	ADHD1
MONDO:0007701	progressive familial heart block type II	OMIM:140400	PFHB2
MONDO:0012696	OTSC4	OMIM:611571	OTSC4
MONDO:0011647	Alzheimer disease 7	OMIM:606187	AD7
MONDO:0012910	age-related hearing impairment 1	OMIM:612448	ARHI1
MONDO:0007940	malignant hyperthermia, susceptibility to, 3	OMIM:154276	MHS3
MONDO:0010951	dilated cardiomyopathy 1B	OMIM:600884	CMD1B
MONDO:0012686	major affective disorder 6	OMIM:611536	MAFD6
MONDO:0012811	ANIB8	OMIM:612162	ANIB8
MONDO:0012002	autosomal recessive nonsyndromic deafness 40	OMIM:608264	DFNB40
MONDO:0012641	restless legs syndrome, susceptibility to, 5	OMIM:611242	RLS5
MONDO:0007772	pseudohypoaldosteronism type 2A	OMIM:145260	PHA2A
MONDO:0010353	deafness-intellectual disability, Martin-Probst type syndrome	OMIM:300519	MRXSMP
MONDO:0013697	MRT29	OMIM:614333	MRT29
MONDO:0013707	MRT24	OMIM:614345	MRT24
MONDO:0011900	POROK4	OMIM:607728	POROK4
